"title","url_title","price","class","inventory_main","inventory_tx","inventory_nc","weight","inventory_ca",
"01-03071","01-03071","120.75","AS","0","0","0","19","0",
"01-03072","01-03072","176","AS","0","0","0","0","0",
"01-03076","01-03076","65.25","AS","0","0","0","4","0",
"01-03078","01-03078","45.75","AS","0","0","0","0","0",
"01-03080","01-03080","132.5","AS","0","0","0","18","0",
"01-03081","01-03081","234.5","AS","0","0","0","28","0",
"01-03082","01-03082","252","AS","0","0","0","0","0",
"01-03085","01-03085","224.5","AS","0","0","0","20","0",
"01-03091","01-03091","127.75","AS","0","0","4","10","0",
"01-03092","01-03092","49.25","AS","0","0","0","3","0",
"01-03101","01-03101","259.25","AS","0","0","0","35","0",
"01-03122","01-03122","127.75","AS","0","0","0","0","0",
"01-03161","01-03161","330","AS","0","0","0","0","0",
"01-03181","01-03181","164","AS","0","0","0","25","0",
"01-03218","01-03218","314.5","AS","0","0","0","45","0",
"01-03235","01-03235","127","AS","0","0","45","6","0",
"01-03242","01-03242","207","AS","0","0","0","23","0",
"01-03264","01-03264","279.75","AS","0","0","0","38","0",
"01-03265","01-03265","261.75","AS","0","0","0","32","0",
"01-03266","01-03266","131.25","AS","0","0","0","13","0",
"01-03279","01-03279","182.25","AS","0","0","0","0","0",
"01-03285","01-03285","412","AS","0","0","0","51.1","0",
"01-03286","01-03286","375.5","AS","0","0","0","40","0",
"01-03292","01-03292","90.5","AS","0","0","0","5","0",
"01-03311","01-03311","133.75","SEP-PURCH","4","0","0","0","0",
"01-03321","01-03321","279.25","AS","0","0","0","31","0",
"01-03331","01-03331","250","AS","0","0","0","32","0",
"01-03431","01-03431","128.75","AS","0","0","0","16","0",
"01-03451","01-03451","136","AS","0","0","0","0","0",
"01-03511","01-03511","249","AS","0","0","0","46","0",
"01-03521","01-03521","165.5","AS","0","0","0","21","0",
"01-03541","01-03541","197.25","AS","0","0","0","0","0",
"01-03562","01-03562","142.75","AS","0","0","0","16","0",
"01-03602","01-03602","159","AS","0","0","0","0","0",
"01-03603","01-03603","159.5","AS","0","0","1","16","0",
"01-03621","01-03621","135.5","AS","0","0","0","0","0",
"01-03651","01-03651","167.5","AS","0","0","0","18","0",
"01-03661","01-03661","336.5","AS","0","0","0","24","0",
"01-03671","01-03671","145.25","AS","0","0","0","16","0",
"01-03721","01-03721","163.5","AS","0","0","0","0","0",
"01-03751","01-03751","112.5","AS","0","0","0","15","0",
"01-03755","01-03755","187.25","AS","0","0","0","17","0",
"01-03756","01-03756","200","AS","0","0","0","24","0",
"01-03830","01-03830","365.25","AS","0","0","0","0","0",
"01-03843","01-03843","185","AS","0","0","0","21","0",
"01-03851","01-03851","259","AS","0","0","0","0","0",
"01-03861","01-03861","186.5","AS","0","0","0","27","0",
"01-03871","01-03871","235.75","AS","0","0","0","0","0",
"01-03981","01-03981","131.75","AS","0","0","0","23","0",
"01-04003","01-04003","219.5","AS","0","0","0","0","0",
"01-04006","01-04006","110.75","AS","0","0","0","17","0",
"01-04031","01-04031","102.75","AS","0","0","1","4","0",
"01-04047","01-04047","93","AS","0","0","0","9","0",
"01-04052","01-04052","222.25","AS","0","0","0","0","0",
"01-04055","01-04055","141","AS","0","0","0","25","0",
"01-04121/2","01-04121-2","253.75","AS","0","0","0","25","0",
"01-04251","01-04251","204.25","AS","0","0","0","37","0",
"01-04261","01-04261","196","AS","0","0","0","0","0",
"01-04452","01-04452","253.25","AS","0","0","2","0","0",
"01-04501","01-04501","246.5","AS","0","0","0","0","0",
"01-04521","01-04521","313.25","AS","0","0","0","34","0",
"01-04522","01-04522","262.5","AS","0","0","0","24","0",
"01-04579/2","01-04579-2","128.5","AS","0","0","0","0","0",
"01-04706","01-04706","264.5","AS","0","0","0","30","0",
"01-05022","01-05022","281","AS","0","0","1","28","0",
"01-05023","01-05023","285","AS","0","0","0","35","0",
"01-05231","01-05231","282.75","AS","0","0","0","44.7","0",
"01-05341","01-05341","206.5","AS","0","0","0","34","0",
"01-05362","01-05362","258","AS","0","0","0","38","0",
"01-05431","01-05431","336.5","AS","0","0","0","0","0",
"01-05453","01-05453","295","AS","0","0","0","32","0",
"01-05501","01-05501","252.5","AS","0","0","0","35","0",
"01-05651","01-05651","295","AS","0","0","0","0","0",
"01-05701","01-05701","252","AS","0","0","0","0","0",
"01-05731","01-05731","241.5","AS","0","0","0","32","0",
"01-05841","01-05841","331.75","AS","0","0","0","45","0",
"01-05931","01-05931","374.25","AS","0","0","0","43","0",
"01-05932","01-05932","261.25","AS","0","0","2","30","0",
"01-06002","01-06002","131.75","AS","0","0","0","30","0",
"01-06003","01-06003","230","AS","0","0","0","31","0",
"01-06005","01-06005","201","AS","0","0","0","19","0",
"01-06011","01-06011","299","AS","0","0","0","38","0",
"01-06031/2","01-06031-2","399.5","AS","0","0","0","46","0",
"01-06221","01-06221","175.5","AS","0","0","0","24","0",
"01-06321","01-06321","240","AS","0","0","0","47","0",
"01-06681/2","01-06681-2","250.5","AS","0","0","0","37","0",
"01-06741","01-06741","194.25","AS","0","1","0","38","0",
"01-06781","01-06781","238","AS","0","1","5","0","0",
"01-06801","01-06801","252","AS","0","0","1","43","0",
"01-06851","01-06851","241.5","AS","0","0","0","0","0",
"01-06931","01-06931","258","AS","0","0","0","39","0",
"01-06951","01-06951","414.75","AS","0","0","0","53","0",
"01-07023","01-07023","375","AS","0","0","0","37","0",
"01-07251","01-07251","223.5","AS","0","0","0","0","0",
"01-07331","01-07331","350.75","AS","0","0","0","44","0",
"01-07502","01-07502","375","AS","0","0","0","0","0",
"01-07504","01-07504","253.25","AS","0","0","0","0","0",
"01-07511","01-07511","253.75","AS","0","0","0","0","0",
"01-07701","01-07701","174","AS","0","0","1","26","0",
"01-08091","01-08091","259.75","AS","0","0","0","0","0",
"01-08101","01-08101","305.75","AS","0","0","0","0","0",
"01-08121","01-08121","377.5","AS","0","0","0","53","0",
"01-08131","01-08131","353.25","AS","0","0","0","0","0",
"01-08371","01-08371","275","AS","0","0","0","43","0",
"01-08464","01-08464","891.25","AS","0","0","0","37.26","0",
"01-09002","01-09002","297.5","AS","1","0","0","42","0",
"01-09006","01-09006","355.75","AS","0","0","0","44","0",
"01-09011","01-09011","299","AS","0","0","0","46","0",
"01-10002","01-10002","393.5","AS","0","0","0","68","0",
"01-10003","01-10003","605","AS","0","0","0","0","0",
"01-10013","01-10013","227.75","AS","0","0","0","0","0",
"01-10852","01-10852","330","AS","0","0","0","50","0",
"01-10902","01-10902","418.25","AS","0","0","0","77","0",
"01-10903","01-10903","590","AS","0","0","0","75","0",
"01-11501","01-11501","695.25","AS","0","0","0","0","0",
"01-11503","01-11503","487.25","AS","0","0","0","0","0",
"01-12001","01-12001","883.25","AS","1","0","0","0","0",
"01-12002","01-12002","241","AS","0","0","3","0","0",
"01-12003","01-12003","399.5","AS","0","0","0","0","0",
"01-12004","01-12004","612.75","AS","0","0","0","0","0",
"01-12007","01-12007","424","AS","0","0","0","81","0",
"01-12371","01-12371","553.5","AS","0","0","0","67","0",
"01-13002","01-13002","314","AS","0","0","3","59","0",
"01-13461","01-13461","600","AS","0","0","0","78","0",
"01-13591","01-13591","446.75","AS","0","0","0","90","0",
"01-14300","01-14300","260.5","AS","0","0","0","0","0",
"01-14923","01-14923","391.5","AS","0","0","0","0","0",
"01-14924","01-14924","530.75","AS","0","0","0","86","0",
"01-14925","01-14925","532.75","AS","0","0","0","98","0",
"01-14927","01-14927","600","AS","0","0","0","86","0",
"01-14929","01-14929","525.25","AS","0","0","0","0","0",
"01-16601","01-16601","370.75","AS","0","0","0","0","0",
"01-16602","01-16602","563.5","AS","0","0","0","0","0",
"02-00581","02-00581","58.75","AS","0","0","0","3","0",
"02-00582","02-00582","70.25","AS","0","0","0","4","0",
"02-00583","02-00583","79.75","AS","2","1","0","3.15","0",
"02-00942","02-00942","108.25","AS","0","0","0","0","0",
"02-00981","02-00981","90","AS","0","0","0","5","0",
"02-00982","02-00982","99.25","AS","0","0","0","5","0",
"02-01001","02-01001","112.5","AS","0","0","0","7","0",
"02-01081","02-01081","119.25","AS","0","0","0","7","0",
"02-01091","02-01091","57","AS","0","0","0","0","0",
"02-01122","02-01122","74.75","AS","0","0","0","7","0",
"02-01151","02-01151","71.25","AS","0","0","0","5","0",
"02-01152","02-01152","91.25","AS","0","0","0","5","0",
"02-01153","02-01153","91.25","AS","0","0","0","0","0",
"02-01171","02-01171","93","AS","0","0","0","6","0",
"02-01181","02-01181","66.5","AS","0","0","0","5","0",
"02-01281","02-01281","61.5","AS","0","0","0","5","0",
"02-01292","02-01292","77.5","AS","0","0","0","0","0",
"02-01304","02-01304","91.25","AS","0","0","0","5","0",
"02-01331","02-01331","61","AS","0","0","0","6","0",
"02-01333","02-01333","71.5","AS","0","0","0","6","0",
"02-01335","02-01335","83","AS","0","0","0","6","0",
"02-01431","02-01431","94.75","AS","0","0","0","10","0",
"02-01432","02-01432","91.25","AS","0","0","0","0","0",
"02-01433","02-01433","101","AS","0","0","0","0","0",
"02-01501","02-01501","74.75","AS","0","0","0","0","0",
"02-01563","02-01563","59.75","AS","0","0","0","5","0",
"02-01581","02-01581","62","AS","0","0","0","6","0",
"02-01601","02-01601","133","AS","0","0","0","0","0",
"02-01602","02-01602","67.5","AS","0","0","0","8","0",
"02-01603","02-01603","75.5","AS","0","0","0","6","0",
"02-01641","02-01641","72","AS","0","0","0","6","0",
"02-01641HC","02-01641hc","156.5","AS","0","0","0","0","0",
"02-01682","02-01682","75.25","AS","0","0","0","0","0",
"02-01683","02-01683","69.25","AS","0","0","0","9","0",
"02-01691","02-01691","95.25","AS","0","0","0","0","0",
"02-01711","02-01711","78.5","AS","0","0","0","0","0",
"02-01731","02-01731","81.5","AS","0","0","0","0","0",
"02-01761","02-01761","95.25","AS","0","0","0","6","0",
"02-01851","02-01851","85","AS","0","0","0","5","0",
"02-01854","02-01854","85","AS","0","0","0","5","0",
"02-01871","02-01871","133.75","AS","0","0","0","13","0",
"02-01923","02-01923","142.25","AS","0","0","0","8","0",
"02-01951","02-01951","90","AS","0","0","0","7","0",
"02-02005","02-02005","76.75","AS","0","0","0","0","0",
"02-02006","02-02006","97.75","AS","0","0","0","5","0",
"02-02008","02-02008","79","AS","0","0","0","8","0",
"02-02081","02-02081","93","AS","0","0","0","8","0",
"02-02136","02-02136","192.75","AS","0","0","0","0","0",
