"entry_id","site_id","channel_id","author_id","forum_topic_id","ip_address","title","url_title","status","status_id","versioning_enabled","view_count_one","view_count_two","view_count_three","view_count_four","allow_comments","sticky","entry_date","year","month","day","expiration_date","comment_expiration_date","edit_date","recent_comment_date","comment_total","description","price","class","photo","inventory","inventory_main","inventory_tx","inventory_nc","weight","in_transit_qty_main","manufactuers_lead_time","on_order_po_main","max_product_discount","price_3","um","inventory_ca","po_req_date_main","buyer","on_order_po_nc","on_order_po_tx","on_order_po_ca","in_transit_qty_nc","in_transit_qty_tx","in_transit_qty_ca","po_req_date_tx","po_req_date_nc","po_req_date_ca","height","width","length","category_product_categories",
"93634","1","37","1","","0","01-00201","01-00201","closed","2","n","0","0","0","0","n","n","1579570474","2020","01","20","0","0","1675060712","","0","25300010-021C ^AIR/OIL SEPARATOR","43.25","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93635","1","37","1","","0","01-00216","01-00216","closed","2","n","0","0","0","0","n","n","1579570483","2020","01","20","0","0","1629238222","","0","01-00216","0","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","","","","",
"93636","1","37","1","","0","01-00231","01-00231","open","1","n","0","0","0","0","n","n","1579570487","2020","01","20","0","0","1675055138","","0","22305577 ^AIR/OIL SEPARATOR","93","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93637","1","37","1","","0","01-0026","01-0026","open","1","n","0","0","0","0","n","n","1579570491","2020","01","20","0","0","1675026600","","0","98262/1030 ^CARTRIDGE, OIL","39","OI","","225","0","51","130","2","0","0","0","15","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93638","1","37","1","","0","01-0027","01-0027","open","1","n","0","0","0","0","n","n","1579570494","2020","01","20","0","0","1674998290","","0","048460000 ^ELEMENT, STRAINER","54.25","OI","","11","0","0","21","0.25","0","0","0","0","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93639","1","37","1","","0","01-0028","01-0028","open","1","n","0","0","0","0","n","n","1579570498","2020","01","20","0","0","1675041107","","0","EFC89755919 ^CARTRIDGE, OIL","31","OI","","38","0","1","341","3","0","0","0","15","0","EACH","0","","","374","0","0","0","0","0","","1677214800","","0.0000","0.0000","0.0000","",
"93640","1","37","1","","0","01-00281","01-00281","open","1","n","0","0","0","0","n","n","1579570503","2020","01","20","0","0","1675048240","","0","CEJ610 ^AIR/OIL SEPARATOR","104.75","AS","","1","0","0","0","3","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93641","1","37","1","","0","01-00285","01-00285","open","1","n","0","0","0","0","n","n","1579570507","2020","01","20","0","0","1675038571","","0","use KD285-007 1615-7695-00 ^AIR/OIL SEPARATOR","84.5","AS","","49","0","0","0","3","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93642","1","37","1","","0","01-0029","01-0029","open","1","n","0","0","0","0","n","n","1579570511","2020","01","20","0","0","1675015172","","0","1228337-0016 ^CARTRIDGE, OIL","56.25","OI","","8","0","0","31","2","0","0","0","15","0","EACH","0","","","22","0","0","0","0","0","","1675400400","","0.0000","0.0000","0.0000","",
"93643","1","37","1","","0","01-00291","01-00291","open","1","n","0","0","0","0","n","n","1579570516","2020","01","20","0","0","1675042053","","0","49 300 52 181 ^ AIR/OIL SEPARATOR","111.75","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93644","1","37","1","","0","01-00301","01-00301","open","1","n","0","0","0","0","n","n","1579570520","2020","01","20","0","0","1675011150","","0","DSR-10A ^A/O AIR/OIL SEPARATOR","185.5","AS","","1","0","0","3","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93645","1","37","1","","0","01-0031","01-0031","open","1","n","0","0","0","0","n","n","1579570524","2020","01","20","0","0","1675119604","","0","300005 ^CARTRIDGE, OIL","8.25","OI","","365","0","1","151","2","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93646","1","37","1","","0","01-0032","01-0032","open","1","n","0","0","0","0","n","n","1579570528","2020","01","20","0","0","1675040378","","0","use KL490-003  561006 ^CARTRIDGE, OIL","20","OI","","181","0","0","0","6.5","0","0","0","20","0","EACH","0","","STOCK","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93647","1","37","1","","0","01-00321","01-00321","open","1","n","0","0","0","0","n","n","1579570533","2020","01","20","0","0","1675041197","","0","KV80-001 ^AIR/OIL SEPARATOR","65.75","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93648","1","37","1","","0","01-00322","01-00322","closed","2","n","0","0","0","0","n","n","1579570537","2020","01","20","0","0","1675040602","","0","1311125000 ^AIR/OIL SEPARATOR KV45-052","105.75","AS","","0","0","0","0","3","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93649","1","37","1","","0","01-0033","01-0033","open","1","n","0","0","0","0","n","n","1579570542","2020","01","20","0","0","1674995936","","0","use KL685-007 9056113 ^CARTRIDGE, OIL","21","OI","","521","0","76","0","2","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93650","1","37","1","","0","01-0034","01-0034","open","1","n","0","0","0","0","n","n","1579570547","2020","01","20","0","0","1674996886","","0","use KL950-009 250025-525 ^CARTRIDGE, OIL","25.75","OI","","670","0","2","0","3","0","0","0","15","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93651","1","37","1","","0","01-0035","01-0035","closed","2","n","0","0","0","0","n","n","1579570551","2020","01","20","0","0","1675046735","","0","use KL1000-014 9057431 ^CARTRIDGE, OIL","37.25","OI","","75","0","0","0","4","0","0","0","25","0","EACH","0","","STOCK","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93652","1","37","1","","0","01-0036","01-0036","open","1","n","0","0","0","0","n","n","1579570556","2020","01","20","0","0","1674986597","","0","use KL850-009 02250050-602 ^CARTRIDGE, OIL","18.25","OI","","275","0","0","0","2","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93653","1","37","1","","0","01-0037","01-0037","closed","2","n","0","0","0","0","n","n","1579570560","2020","01","20","0","0","1675033951","","0","43-1041 ^CARTRIDGE, OIL use kl750-020","15.25","OI","","183","0","0","0","2","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93654","1","37","1","","0","01-0038","01-0038","open","1","n","0","0","0","0","n","n","1579570564","2020","01","20","0","0","1674988872","","0","36897353 ^CARTRIDGE, OIL","14.5","OI","","87","0","0","0","1","0","0","0","25","0","EACH","0","","","204","0","0","0","0","0","","1679025600","","0.0000","0.0000","0.0000","",
"93655","1","37","1","","0","01-0039","01-0039","closed","2","n","0","0","0","0","n","n","1579570573","2020","01","20","0","0","1675009687","","0","use KL475-008 CARTRIDGE, ^OIL","16","OI","","377","0","0","0","2.5","0","0","0","20","0","EACH","0","","STOCK","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93656","1","37","1","","0","01-00391","01-00391","closed","2","n","0","0","0","0","n","n","1579570577","2020","01","20","0","0","1675003555","","0","6.3574.0 ^AIR/OIL SEPARATOR use KV45-055","85.75","AS","","3","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
