"entry_id","site_id","channel_id","author_id","forum_topic_id","ip_address","title","url_title","status","status_id","versioning_enabled","view_count_one","view_count_two","view_count_three","view_count_four","allow_comments","sticky","entry_date","year","month","day","expiration_date","comment_expiration_date","edit_date","recent_comment_date","comment_total","description","price","class","photo","inventory","inventory_main","inventory_tx","inventory_nc","weight","in_transit_qty_main","manufactuers_lead_time","on_order_po_main","max_product_discount","price_3","um","inventory_ca","po_req_date_main","buyer","on_order_po_nc","on_order_po_tx","on_order_po_ca","in_transit_qty_nc","in_transit_qty_tx","in_transit_qty_ca","po_req_date_tx","po_req_date_nc","po_req_date_ca",
"275324","1","37","13","","76.190.38.198","KG435-018PSS","kg435-018pss","closed","2","n","0","0","0","0","n","n","1659143150","2022","07","29","0","0","","","0","GAS FILTER  ^  (MTO)","200.25","KG","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275325","1","37","13","","76.190.38.198","KR440-033PSS","kr440-033pss","closed","2","n","0","0","0","0","n","n","1659143537","2022","07","29","0","0","","","0","SEPARATORS  ^  (MTO)","246.5","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275326","1","37","13","","76.190.38.198","KR1420-020P","kr1420-020p","open","1","n","0","0","0","0","n","n","1659144552","2022","07","29","0","0","","","0","FO-120-2S ^  RESTRICTED","170","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","RESTRICTED","0","0","0","0","0","0","0","0","0",
"275327","1","37","13","","76.190.38.198","KR235-020","kr235-020","open","1","n","0","0","0","0","n","n","1659144719","2022","07","29","0","0","","","0","COALESCER  ^  (MTO)","115.25","REF","","0","0","0","0","1.8","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275328","1","37","13","","76.190.38.198","KR2600-021PSS","kr2600-021pss","open","1","n","0","0","0","0","n","n","1659144768","2022","07","29","0","0","","","0","SEP-PROD","878","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275329","1","37","13","","76.190.38.198","KR320-021P","kr320-021p","open","1","n","0","0","0","0","n","n","1659144821","2022","07","29","0","0","","","0","SEP-PROD","121.5","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275330","1","37","13","","76.190.38.198","KR640-025P","kr640-025p","closed","2","n","0","0","0","0","n","n","1659144981","2022","07","29","0","0","","","0","TBD ^  SEPARATOR","0","SEP-PROD","","0","0","0","0","0","0","","0","0","0","EACH","0","0","RESTRICTED","0","0","0","0","0","0","0","0","0",
"275331","1","37","13","","76.190.38.198","KH2200-035P","kh2200-035p","open","1","n","0","0","0","0","n","n","1659145641","2022","07","29","0","0","","","0","MTO  ^  SEPARATOR","693","SEP-PROD","","0","0","0","0","80","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275332","1","37","13","","76.190.38.198","KR1100-056","kr1100-056","open","1","n","0","0","0","0","n","n","1659145723","2022","07","29","0","0","","","0","50850203 ALT  ^  SEPARATOR (RESTRICTED)","150.25","REF","","0","0","0","0","25","0","","0","0","0","EACH","0","0","RESTRICTED","0","0","0","0","0","0","0","0","0",
"275333","1","37","13","","76.190.38.198","KR1100-088P","kr1100-088p","closed","2","n","0","0","0","0","n","n","1659146990","2022","07","29","0","0","","","0","SEP-PROD","200","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275334","1","37","13","","76.190.38.198","KR860-019PSS","kr860-019pss","closed","2","n","0","0","0","0","n","n","1659147555","2022","07","29","0","0","","","0","SEPARATOR  ^  (MTO)","318.75","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275335","1","37","13","","76.190.38.198","KR800-058PSS","kr800-058pss","closed","2","n","0","0","0","0","n","n","1659148856","2022","07","29","0","0","","","0","SEPARATOR  ^   (MTO)","484.25","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275336","1","37","13","","76.190.38.198","KV115-054","kv115-054","closed","2","n","0","0","0","0","n","n","1659148926","2022","07","29","0","0","","","0","SEPARATOR  ^  (MTO)","108.5","SEP-PROD","","0","0","0","0","7","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275337","1","37","13","","76.190.38.198","KD250-082P","kd250-082p","open","1","n","0","0","0","0","n","n","1659149363","2022","07","29","0","0","","","0","SEPARATOR","100.75","SEP-PROD","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275338","1","37","13","","76.190.38.198","KG770-030P","kg770-030p","closed","2","n","0","0","0","0","n","n","1659149531","2022","07","29","0","0","","","0","GAS FILTER  ^  (MTO)","231.25","KG","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275339","1","37","13","","76.190.38.198","KR300-059","kr300-059","open","1","n","0","0","0","0","n","n","1659149972","2022","07","29","0","0","","","0","030-00613C-009  ^  SEPARATOR (RESTRICTED)","97.25","REF","","0","24","0","0","14.5","0","","0","0","0","EACH","0","0","RESTRICTED","0","0","0","0","0","0","0","0","0",
"275345","1","37","13","","76.190.38.198","KR560-030","kr560-030","open","1","n","0","0","0","0","n","n","1659151636","2022","07","29","0","0","","","0","FO 100-BAR  ^  SEPARATOR (MTO)","133.75","REF","","0","0","0","0","27","0","","0","0","0","EACH","0","0","RESTRICTED","0","0","0","0","0","0","0","0","0",
"275346","1","37","13","","76.190.38.198","KR1050-054PSS","kr1050-054pss","closed","2","n","0","0","0","0","n","n","1659152492","2022","07","29","0","0","","","0","SEP-PROD","958.25","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275347","1","37","13","","76.190.38.198","KR385-024P","kr385-024p","closed","2","n","0","0","0","0","n","n","1659152917","2022","07","29","0","0","","","0","SEPARATOR  ^  (MTO)","182.25","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275348","1","37","13","","76.190.38.198","KR780-012P","kr780-012p","open","1","n","0","0","0","0","n","n","1659153141","2022","07","29","0","0","","","0","SEPARATOR  ^   RESTRICTED","149.25","REF","","0","0","0","0","8.5","0","","0","0","0","EACH","0","0","RESTRICTED","0","0","0","0","0","0","0","0","0",
"275349","1","37","13","","76.190.38.198","KR925-022P","kr925-022p","open","1","n","0","0","0","0","n","n","1659153175","2022","07","29","0","0","","","0","COALESCER  ^  (MTO)","144.25","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275350","1","37","13","","76.190.38.198","KR930-014P","kr930-014p","open","1","n","0","0","0","0","n","n","1659153180","2022","07","29","0","0","","","0","SEPARATOR  ^","121.5","REF","","0","0","0","0","9","0","","0","0","0","EACH","0","0","RESTRICTED","0","0","0","0","0","0","0","0","0",
"275351","1","37","13","","76.190.38.198","KR960-010PSS","kr960-010pss","closed","2","n","0","0","0","0","n","n","1659153190","2022","07","29","0","0","","","0","SEPARATORS  ^  (MTO)","443","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275532","1","37","13","","76.190.38.198","KV1100-094P","kv1100-094p","open","1","n","0","0","0","0","n","n","1659454878","2022","08","02","0","0","1659495211","","0","SEPARATOR  ^  (MTO)","420","SEP-PROD","","0","0","0","0","25","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"275599","1","37","13","","76.190.38.198","KD900-066","kd900-066","open","1","n","0","0","0","0","n","n","1659493757","2022","08","02","0","0","","","0","SEPARATOR","275.5","SEP-PROD","","0","0","0","0","0","0","","0","25","0","EACH","0","0","","0","0","0","0","0","0","0","0","0",
"275600","1","37","13","","76.190.38.198","KG850-046P","kg850-046p","open","1","n","0","0","0","0","n","n","1659493896","2022","08","02","0","0","","","0","GAS INLET FILTER","190.5","KG","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275601","1","37","13","","76.190.38.198","KR1030-026PSS","kr1030-026pss","closed","2","n","0","0","0","0","n","n","1659494155","2022","08","02","0","0","","","0","COALESCER  ^  (MTO)","0","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275602","1","37","13","","76.190.38.198","KR300-082SS","kr300-082ss","open","1","n","0","0","0","0","n","n","1659494607","2022","08","02","0","0","","","0","030-00613C-010-SS  ^  (RESTRICTED)","285.25","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","RESTRICTED","0","0","0","0","0","0","0","0","0",
"275603","1","37","13","","76.190.38.198","KR3200-026PSS","kr3200-026pss","open","1","n","0","0","0","0","n","n","1659494631","2022","08","02","0","0","","","0","SEPARATORS  ^  (MTO)","605","REF","","0","0","0","0","26","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275604","1","37","13","","76.190.38.198","KR4400-004P","kr4400-004p","open","1","n","0","0","0","0","n","n","1659494741","2022","08","02","0","0","","","0","SEP-PROD","667.25","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275605","1","37","13","","76.190.38.198","KR600-075PSS","kr600-075pss","open","1","n","0","0","0","0","n","n","1659494875","2022","08","02","0","0","","","0","COALESCER  ^  (MTO)","748.75","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
